decimal,wire,metric,tap,sti
0.5469,35/64,-13.8913,5/8-12,
0.5512,,14,M16x2.0,
0.561,,-14.25,,M14x1.5
0.5625,9/16,-14.2875,5/8-16,
0.5709,,14.5,,M14x2
0.5781,37/64,-14.6837,5/8-18 5/8-20,9/16-12 9/16-18
0.5906,,15,,
0.5938,19/32,-15.0825,5/8-24 5/8-28 5/8-32,
0.6094,39/64,-15.4788,11/16-12,
0.6102,,15.5,M18x2.5,
0.625,5/8,-15.875,11/16-16,
0.6299,,16,,
0.6398,,-16.25,,M16x1.5
0.6406,41/64,-16.2712,11/16-20,5/8-18
0.6496,,16.5,,M16x2
0.6562,21/32,-16.6675,11/16-24 11/16-28 11/16-32 3/4-10,5/8-11
0.6693,,17,,
0.6719,43/64,-17.0663,3/4-12,
0.6875,11/16,-17.4625,3/4-16,
0.689,,17.5,M20x2.5,
0.7031,45/64,-17.8587,3/4-20,
0.7087,,18,,
0.7185,,-18.25,,M18x1.5
0.7188,23/32,-18.2575,3/4-28 3/4-32,
0.7283,,18.5,,M18x2
0.7344,47/64,-18.6538,13/16-12,
0.7382,,-18.75,,M18x2.5
0.748,,19,,
0.75,3/4,-19.05,13/16-16,
0.7656,49/64,-19.4462,13/16-20 7/8-9,3/4-16
0.7677,,19.5,M22x2.5,
0.7812,25/32,-19.8425,13/16-32,3/4-10
0.7874,,20,,
0.7969,51/64,-20.2413,7/8-12,
0.7972,,-20.25,,M20x1.5
0.8071,,20.5,,M20x2
0.8125,13/16,-20.6375,7/8-14 7/8-16,
0.8169,,-20.75,,M20x2.5
0.8268,,21,M24x3.0,
0.8281,53/64,-21.0337,7/8-20,
0.8438,27/32,-21.4325,7/8-28 7/8-32,
0.8594,55/64,-21.8288,15/16-12,
0.8661,,22,,
0.875,7/8,-22.225,15/16-16 1.0-8,
0.876,,-22.25,,M22x1.5
0.8858,,22.5,,M22x2
0.8906,57/64,-22.6212,15/16-20,7/8-14
0.8957,,-22.75,,M22x2.5
0.9055,,23,,
0.9062,29/32,-23.0175,15/16-28 15/16-32,7/8-09
0.9219,59/64,-23.4163,1.0-12,
0.9375,15/16,-23.8125,1.0-16 1-1/16-8,
0.9449,,24,M27x3.0,
0.9531,61/64,-24.2087,1.0-20,
0.9646,,24.5,,M24x2
0.9688,31/32,-24.6075,1.0-28 1.0-32,
0.9744,,-24.75,,M24x3
0.9843,,25,,
0.9844,63/64,-25.0038,1-1/16-12 1-1/8-7,
1,1,25.4,1-1/16-16 1-1/8-8,
1.0156,1/1-64,-25.7962,,1. 1.
1.0313,1/1-32,-26.1937,,1.000-8
